,subject,block,correct,incorrect,totalTrials,score
0,subj133,block5,39,41,80,0.4875
1,subj127,block3,38,42,80,0.475
2,subj145,block6,29,51,80,0.3625
3,subj111,block1,17,63,80,0.2125
4,subj141,block3,18,62,80,0.225
5,subj115,block4,46,34,80,0.575
6,subj139,block1,26,54,80,0.325
7,subj123,block6,33,46,79,0.4177215189873418
8,subj155,block5,28,52,80,0.35
9,subj107,block5,32,48,80,0.4
10,subj149,block5,34,46,80,0.425
11,subj109,block4,34,46,80,0.425
12,subj147,block4,17,63,80,0.2125
13,subj113,block3,35,45,80,0.4375
14,subj125,block1,20,60,80,0.25
15,subj121,block4,30,50,80,0.375
16,subj143,block1,18,62,80,0.225
17,subj117,block6,35,45,80,0.4375
18,subj159,block6,28,52,80,0.35
19,subj161,block5,42,38,80,0.525
20,subj138,block4,22,58,80,0.275
21,subj122,block3,49,31,80,0.6125
22,subj140,block6,37,43,80,0.4625
23,subj114,block1,25,55,80,0.3125
24,subj136,block5,40,40,80,0.5
25,subj150,block5,17,63,80,0.2125
26,subj144,block3,26,54,80,0.325
27,subj110,block4,29,51,80,0.3625
28,subj126,block6,32,48,80,0.4
29,subj142,block4,35,45,80,0.4375
30,subj116,block3,42,38,80,0.525
31,subj120,block1,19,61,80,0.2375
32,subj102,block5,29,51,80,0.3625
33,subj146,block1,18,62,80,0.225
34,subj112,block6,24,56,80,0.3
35,subj132,block5,38,42,80,0.475
36,subj126,block3,43,37,80,0.5375
37,subj110,block1,20,60,80,0.25
38,subj144,block6,23,57,80,0.2875
39,subj114,block4,27,53,80,0.3375
40,subj140,block3,34,46,80,0.425
41,subj122,block6,35,45,80,0.4375
42,subj138,block1,17,63,80,0.2125
43,subj154,block5,17,63,80,0.2125
44,subj148,block5,33,47,80,0.4125
45,subj106,block5,22,58,80,0.275
46,subj112,block3,39,41,80,0.4875
47,subj146,block4,30,50,80,0.375
48,subj120,block4,28,52,80,0.35
49,subj116,block6,29,51,80,0.3625
50,subj142,block1,30,50,80,0.375
51,subj160,block5,33,47,80,0.4125
52,subj123,block3,30,50,80,0.375
53,subj139,block4,24,56,80,0.3
54,subj115,block1,23,57,80,0.2875
55,subj141,block6,20,60,80,0.25
56,subj137,block5,10,70,80,0.125
57,subj151,block5,30,50,80,0.375
58,subj111,block4,22,57,79,0.27848101265822783
59,subj145,block3,31,49,80,0.3875
60,subj127,block6,34,46,80,0.425
61,subj159,block3,23,57,80,0.2875
62,subj117,block3,45,35,80,0.5625
63,subj143,block4,27,53,80,0.3375
64,subj121,block1,21,59,80,0.2625
65,subj103,block5,32,48,80,0.4
66,subj125,block4,36,44,80,0.45
67,subj113,block6,30,50,80,0.375
68,subj147,block1,17,63,80,0.2125
69,subj109,block1,26,54,80,0.325
70,subj131,block5,24,56,80,0.3
71,subj113,block1,26,54,80,0.325
72,subj147,block6,26,54,80,0.325
73,subj109,block6,42,38,80,0.525
74,subj125,block3,33,47,80,0.4125
75,subj121,block6,26,54,80,0.325
76,subj159,block4,23,57,80,0.2875
77,subj117,block4,37,43,80,0.4625
78,subj143,block3,33,47,80,0.4125
79,subj157,block5,27,53,80,0.3375
80,subj119,block5,29,51,80,0.3625
81,subj105,block5,36,44,80,0.45
82,subj127,block1,18,62,80,0.225
83,subj111,block3,19,61,80,0.2375
84,subj145,block4,25,55,80,0.3125
85,subj115,block6,37,43,80,0.4625
86,subj141,block1,18,62,80,0.225
87,subj123,block4,33,47,80,0.4125
88,subj139,block3,45,35,80,0.5625
89,subj116,block1,25,55,80,0.3125
90,subj142,block6,17,63,80,0.2125
91,subj120,block3,39,41,80,0.4875
