subject,condition,block1,block3,block4,block5,block6
subj100,Wake,0.278481013,0.45,0.4,0.4625,0.2875
subj101,Sleep,0.3125,0.425,0.375,0.4375,0.3375
subj102,Wake,0.25,0.45,0.2625,0.3625,0.3875
subj103,Sleep,0.4375,0.4625,0.291139241,0.4,0.425
subj104,Wake,0.275,0.3875,0.4625,0.4125,0.3
subj105,Sleep,0.225,0.4875,0.4125,0.45,0.4375
subj106,Wake,0.375,0.425,0.2875,0.275,0.3
subj107,Sleep,0.3,0.45,0.4125,0.4,0.425
subj109,Sleep,0.325,0.5,0.425,0.4,0.525
subj110,Sleep,0.25,0.325,0.3625,0.2125,0.25
subj111,Wake,0.2125,0.2375,0.278481013,0.3625,0.2
subj112,Sleep,0.3375,0.4875,0.4625,0.4125,0.3
subj113,Sleep,0.325,0.4375,0.375,0.325,0.375
subj114,Wake,0.3125,0.375,0.3375,0.325,0.3
subj115,Wake,0.2875,0.5125,0.575,0.5,0.4625
subj116,Wake,0.3125,0.525,0.375,0.325,0.3625
subj117,Sleep,0.2625,0.5625,0.4625,0.35,0.4375
subj118,Sleep,0.4125,0.625,0.4625,0.55,0.5
subj119,Wake,0.3375,0.45,0.475,0.3625,0.4125
subj120,Sleep,0.2375,0.4875,0.35,0.45,0.4125
subj121,Wake,0.2625,0.35,0.375,0.275,0.325
subj122,Sleep,0.3375,0.6125,0.5,0.4,0.4375
subj123,Wake,0.25,0.375,0.4125,0.4,0.417721519
subj125,Wake,0.25,0.4125,0.45,0.4125,0.2875
subj126,Wake,0.3625,0.5375,0.4875,0.5125,0.4
subj127,Sleep,0.225,0.475,0.3875,0.4875,0.425
subj128,Wake,0.3875,0.4625,0.4625,0.425,0.375
subj129,Wake,0.2875,0.3625,0.275,0.3125,0.3625
subj130,Sleep,0.3375,0.4,0.425,0.5,0.4625
subj131,Sleep,0.2875,0.4,0.275,0.3,0.3
subj132,Sleep,0.425,0.5,0.4,0.475,0.3625
subj133,Wake,0.325,0.6,0.5375,0.4875,0.3875
subj134,Sleep,0.5,0.425,0.375,0.45,0.4875
subj135,Sleep,0.1625,0.375,0.3875,0.2875,0.35
subj136,Sleep,0.4125,0.575,0.4625,0.5,0.5125
subj137,Sleep,0.1125,0.3,0.2,0.125,0.2
subj138,Sleep,0.2125,0.3625,0.275,0.3375,0.2875
subj139,Sleep,0.325,0.5625,0.3,0.3875,0.3625
subj140,Sleep,0.225,0.425,0.4375,0.5,0.4625
subj141,Sleep,0.225,0.225,0.275,0.2,0.25
subj142,Sleep,0.375,0.375,0.4375,0.2,0.2125
subj143,Sleep,0.225,0.4125,0.3375,0.4625,0.4
subj144,Sleep,0.1375,0.325,0.25,0.2875,0.2875
subj145,Sleep,0.2625,0.3875,0.3125,0.4,0.3625
subj146,Sleep,0.225,0.325,0.375,0.2875,0.2625
subj147,Sleep,0.2125,0.3375,0.2125,0.3875,0.325
subj148,Sleep,0.3375,0.4625,0.4125,0.4125,0.4
subj149,Sleep,0.3,0.425,0.3375,0.425,0.3875
subj150,Wake,0.225,0.275,0.1875,0.2125,0.275
subj151,Wake,0.2875,0.4,0.425,0.375,0.45
subj152,Wake,0.2625,0.45,0.275,0.2625,0.3
subj153,Wake,0.1375,0.275,0.25,0.3,0.25
subj154,Wake,0.2625,0.3875,0.225,0.2125,0.325
subj155,Wake,0.25,0.425,0.2625,0.35,0.3875
subj157,Wake,0.375,0.4625,0.4125,0.3375,0.3625
subj159,Wake,0.1875,0.2875,0.2875,0.2125,0.35
subj160,Wake,0.275,0.4875,0.45,0.4125,0.4
subj161,Wake,0.375,0.525,0.4625,0.525,0.525
subj162,Wake,0.375,0.4,0.4125,0.2375,0.3625
