Subject,Age,Gender,Primary_Language,Secondary_Languages,2nd_lang,2nd_lang_proficiency,3rd_lang,3rd_lang_proficiency,4th_lang,4th_lang_proficiency,5th_lang,5th_lang_proficiency,country_born,1st_lived,1st_years,2nd_lived,2nd_years,3rd_lived,3rd_years,4th_lived,4th_years,5th_lived,5th_years,6th_lived,6th_years,Notes
100,26,M,English,yes,Spanish,Fluent,NA,NA,NA,NA,NA,NA,America,"Chicago, IL",25,"Lansing, IL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,21,F,English,yes,Mandarin,Fluent,ASL,Proficient,NA,NA,NA,NA,America,"Tianjin, China",2.5,"Chicago, IL",3-Feb,"Hinsdale, IL",7,"Chicago, IL",9,NA,NA,NA,NA,NA
101,24,F,English,yes,spanish ,fluent,NA,NA,NA,NA,NA,NA,Mexico,"Villanueva, Zacatecazas, Mexico",2,"Chicago, IL",17,"Wooster, OH",4,"Chicago, IL",1,NA,NA,NA,NA,NA
103,23,F,English,yes,Macedonian,semi-fluent,Spanish,Semi-Fluent,NA,NA,NA,NA,Macedonia,"Stip, Macedonia",3,"Darien, IL",15,"Chicago, IL",5,NA,NA,NA,NA,NA,NA,NA
104,23,F,English,yes,French,semi-fluent,NA,NA,NA,NA,NA,NA,America,"Jericho, VT",18,"Rochester, NY",3.75,"Nice, France",0.25,"Florham Park, NJ",0.25,"Chicago, IL",1,NA,NA,NA
105,21,F,English,no,NA,NA,NA,NA,NA,NA,NA,NA,America,"Port Orchard, WA",5,"Hollister, CA",13,"Chicago, IL",3,NA,NA,NA,NA,NA,NA,NA
106,21,F,English,yes,Spanish ,Fluent,French,Basic,Portuguese,Basic,NA,NA,America,"Chicago, IL",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,22,F,English,yes,Mandarin Chinese,Semi-fluent,NA,NA,NA,NA,NA,NA,Malaysia,"Beijing, China",7,"Kuala Lumpur, Malaysia",11,"Chicago, IL, USA",4,NA,NA,NA,NA,NA,NA,NA
109,20,F,English,yes,Chinese,Basic,NA,NA,NA,NA,NA,NA,America,"Dublin, Ohio",18,"Chicago, IL",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,21,F,English,yes,Korean,Fluent,NA,NA,NA,NA,NA,NA,Republic of Korea,"Seoul, Republic of Korea",17,"Aukland, New Zealand",3,"Chicago, IL, USA",1,NA,NA,NA,NA,NA,NA,NA
111,20,F,English,yes,French,Fluent,Wolof,Semi-Fluent,NA,NA,NA,NA,Senegal,"Senegal, Dakar",16,"Maastricht, Netherlands",2,"Chicago, IL, USA",2,NA,NA,NA,NA,NA,NA,NA
112,25,M,English,yes,Japanese,Semi-fluent,NA,NA,NA,NA,NA,NA,America,"Anchorage, AK",3,"Colombus, MS",4,"New Orleans, LA",3,"Miami, FL",2,"New Orleans, LA",7,"Chicago, IL",6,
